X,y,std_dev
10200,9.1,0.5385164807134504
10250,9.1,0.5385164807134504
10300,9.1,0.5385164807134504
10350,9.1,0.5385164807134504
10400,9.1,0.5385164807134504
10450,9.1,0.5385164807134504
10500,9.1,0.5385164807134504
10550,9.1,0.5385164807134504
10600,9.1,0.5385164807134504
10650,9.1,0.5385164807134504
10700,9.1,0.5385164807134504
10750,9.1,0.5385164807134504
10800,9.1,0.5385164807134504
10850,9.1,0.5385164807134504
10900,9.1,0.5385164807134504
10950,9.1,0.5385164807134504
11000,9.1,0.5385164807134504
11050,9.1,0.5385164807134504
11100,9.1,0.5385164807134504
11150,9.1,0.5385164807134504
11200,9.1,0.5385164807134504
11250,9.1,0.5385164807134504
11300,9.1,0.5385164807134504
11350,9.1,0.5385164807134504
11400,9.1,0.5385164807134504
11450,9.1,0.5385164807134504
11500,9.1,0.5385164807134504
11550,9.1,0.5385164807134504
11600,9.1,0.5385164807134504
11650,9.1,0.5385164807134504
11700,9.1,0.5385164807134504
11750,9.1,0.5385164807134504
11800,9.1,0.5385164807134504
11850,9.1,0.5385164807134504
11900,9.1,0.5385164807134504
11950,9.1,0.5385164807134504
12000,9.1,0.5385164807134504
12050,9.1,0.5385164807134504
12100,9.1,0.5385164807134504
12150,9.1,0.5385164807134504
12200,9.1,0.5385164807134504
12250,9.1,0.5385164807134504
12300,9.1,0.5385164807134504
12350,9.1,0.5385164807134504
12400,9.1,0.5385164807134504
12450,9.1,0.5385164807134504
12500,9.1,0.5385164807134504
12550,9.1,0.5385164807134504
12600,9.1,0.5385164807134504
12650,9.1,0.5385164807134504
12700,9.1,0.5385164807134504
12750,9.1,0.5385164807134504
12800,9.1,0.5385164807134504
12850,9.1,0.5385164807134504
12900,9.2,0.4
12950,9.2,0.4
13000,9.3,0.45825756949558405
13050,9.3,0.45825756949558405
13100,9.3,0.45825756949558405
13150,9.3,0.45825756949558405
13200,9.3,0.45825756949558405
13250,9.4,0.48989794855663565
13300,9.5,0.6708203932499369
13350,9.5,0.6708203932499369
13400,9.5,0.6708203932499369
13450,9.6,0.7999999999999999
13500,9.6,0.7999999999999999
13550,9.6,0.7999999999999999
13600,9.7,1.0049875621120892
13650,9.8,1.077032961426901
13700,9.8,1.077032961426901
13750,9.9,1.3
13800,10.1,1.8138357147217055
13850,10.4,2.2
13900,11.0,3.847076812334269
13950,11.8,5.582114294781145
14000,16.0,17.435595774162696
14050,16.6,18.30409790183608
14100,14.5,12.403628501370072
14150,19.4,26.974803057668463
14200,11.6,3.826225293941799
14250,12.9,8.490583018850945
14300,10.1,1.4456832294800963
14350,10.1,1.4456832294800963
14400,10.1,1.4456832294800963
14450,10.1,1.4456832294800963
14500,10.2,1.7204650534085253
14550,10.2,1.7204650534085253
14600,10.2,1.7204650534085253
14650,10.5,1.6278820596099706
14700,12.5,5.608029957123981
14750,11.8,2.6758176320519302
14800,13.5,6.2809234989768825
14850,12.8,4.142463035441596
14900,13.1,4.369210454990696
14950,16.4,12.2
15000,15.2,6.982836100038437
15050,15.3,8.729833904490967
15100,15.5,9.3834961501564
15150,16.8,10.934349546269315
15200,17.4,11.065260954898443
15250,13.7,4.337049688440288
15300,17.9,11.112605455067683
15350,18.2,11.311940593903419
15400,18.7,9.317188417113822
15450,36.6,58.19140830053866
15500,17.4,12.15894732285653
15550,14.2,5.844655678480984
15600,13.3,3.8223029707232783
15650,13.2,3.682390527904394
15700,12.6,2.8354893757515653
15750,17.7,13.697079980784226
15800,16.1,10.76522178127325
15850,14.2,4.534313619501853
15900,20.2,21.371944226017433
15950,16.8,9.05317623820502
16000,18.6,11.101351269102333
16050,18.3,15.88741640418605
16100,21.4,18.569868066305695
16150,17.9,13.51628647225265
16200,16.6,9.961927524329816
16250,14.2,4.915282290977803
16300,16.1,7.687002016391046
16350,17.4,11.926441212700459
16400,12.0,2.8635642126552705
16450,11.9,3.1448370387032774
16500,13.2,6.079473661428265
16550,13.3,6.2777384462878025
16600,15.3,6.797793759742936
16650,18.9,12.723600119463043
16700,48.5,97.45896572404203
16750,18.7,12.190570126126177
16800,14.7,5.386093203798093
16850,14.8,4.6
16900,16.2,6.6
16950,15.6,7.605261336732617
17000,16.0,11.018166816671457
17050,13.3,3.4655446902326914
17100,14.1,5.146843692983109
17150,20.0,18.76166303929372
17200,22.4,26.115895542753268
17250,24.2,26.141155291991208
17300,23.5,22.128036514792722
17350,20.0,14.127986409959489
17400,17.2,9.431860898041277
17450,16.8,9.505787710652916
17500,16.6,9.697422337920527
17550,16.4,9.0575934993794
17600,16.0,6.526867548832288
17650,17.4,6.814690014960329
17700,18.2,9.579144011862438
17750,21.8,14.489996549343964
17800,22.4,15.969971822141703
17850,19.5,12.419742348374221
17900,19.2,14.517575555167605
17950,15.4,7.774316690230725
18000,15.0,7.37563556583431
18050,15.4,7.29657453878188
18100,17.0,8.17312669668102
18150,21.5,12.23315167894194
18200,35.1,34.11290078547997
18250,42.1,39.84582788699464
18300,38.9,36.61543390429779
18350,37.5,41.68992684090487
18400,26.8,15.948667655951702
18450,28.5,19.1637678967368
18500,37.3,29.21318195609646
18550,30.7,17.88882332631188
18600,33.6,28.81041478354659
18650,33.2,30.788959060026695
18700,28.2,18.459685804476738
18750,26.8,13.948476619330156
18800,30.6,25.663982543634962
18850,26.5,12.947972814305722
18900,30.4,20.16531675922796
18950,34.2,24.053274205396654
19000,36.9,27.994463738389417
19050,40.8,32.618399715498
19100,34.3,16.08135566424672
19150,35.6,12.330450113438683
19200,50.0,28.146047679914137
19250,41.8,15.529327094243332
19300,41.9,18.430680942385173
19350,43.1,21.262408142070832
19400,46.0,25.404723970159566
19450,43.2,19.410306540598476
19500,43.3,19.697969438497967
19550,42.7,17.9390635207081
19600,48.2,22.90327487500423
19650,56.0,32.18384688007324
19700,50.6,20.40196069009055
19750,47.3,19.80429246400891
19800,54.1,42.94054028537601
19850,52.7,51.02754158295303
19900,46.7,47.08938309215784
19950,50.6,49.02285181423047
20000,38.3,25.28260271411945
20050,35.4,13.944174410842686
20100,42.9,21.068697159530295
20150,52.8,28.02070662920548
20200,49.7,25.514897609044016
20250,49.5,25.124689052802225
20300,49.6,21.62036077404815
20350,54.1,37.91952003915661
20400,57.2,27.88476286433148
20450,63.6,26.635314903338386
20500,72.2,37.104716681306165
20550,75.9,32.20077638815562
20600,72.6,34.546200948874244
20650,76.2,45.71608032191737
20700,71.0,40.74309757492672
20750,62.0,28.131832503411506
20800,61.5,27.872028989651973
20850,65.6,35.704901624286826
20900,70.9,47.542507296102926
20950,61.4,27.200000000000003
21000,60.9,21.915519615103815
21050,58.9,21.35158073773462
21100,58.0,25.151540708274712
21150,84.2,69.65026920263841
21200,76.6,67.2892264779437
21250,55.0,24.145392935299274
21300,71.3,37.92637604622936
21350,54.0,19.23018460649819
21400,53.8,17.954386650621068
21450,56.5,18.194779471046083
21500,51.9,10.222035022440492
21550,56.1,16.51332795047685
21600,68.6,40.269591505253686
21650,82.5,56.16805141715351
21700,65.9,27.83325349289946
21750,63.7,18.884120313109637
21800,82.4,48.740537543199096
21850,64.1,23.20107756118237
21900,84.1,77.07068184465477
21950,69.2,34.43486605172147
22000,68.5,34.14454568448671
22050,66.0,33.71646482061843
22100,67.8,31.00580590792634
22150,62.7,16.28526941748278
22200,59.2,16.557777628655362
22250,65.3,20.76078033215515
22300,80.7,27.914333235812745
22350,119.8,132.830568770897
22400,68.8,32.05245700410501
22450,63.0,19.697715603592208
22500,67.5,16.96024763970149
22550,61.0,17.866169147301836
22600,58.1,19.70507548831011
22650,52.0,13.696714934611146
22700,53.2,14.52446212429225
22750,77.9,55.92575435342826
22800,96.4,135.63642578599598
22850,54.1,25.461539623518448
22900,90.9,133.02214101419358
22950,53.3,22.667377439836308
23000,58.2,24.74994949489796
23050,57.2,16.69610733075228
23100,68.1,33.33301666516248
23150,62.6,26.12355259148342
23200,57.6,21.606480509328676
23250,59.4,20.030976012166754
23300,70.0,45.05552130427524
23350,70.6,41.51192599723603
23400,72.2,46.79059734604807
23450,68.3,47.5647979076964
23500,63.2,32.73469107842626
23550,59.4,22.861321046693696
23600,67.9,32.11681802420657
23650,66.9,28.151198908749873
23700,66.0,21.085540068966694
23750,77.3,39.44629260146002
23800,68.4,23.316088865845405
23850,57.9,14.590750494748375
23900,55.5,14.270599146496968
23950,60.7,23.991873624208676
24000,102.0,133.5043070466268
24050,63.1,15.33916555748715
24100,64.7,21.913694348511843
24150,68.9,29.272683512107324
24200,86.3,53.81644730005874
24250,76.6,40.50234561108776
24300,76.8,36.45216042980169
24350,72.2,40.31079259950119
24400,68.1,34.334967598644965
24450,66.7,24.568475736194948
24500,68.4,24.64224015790772
24550,98.4,101.08432123727202
24600,92.3,74.4782518591837
24650,75.0,40.49197451347612
24700,68.5,29.523719277895864
24750,80.3,38.11049724157374
24800,69.8,20.556264252047352
24850,73.3,25.640007800310826
24900,83.8,49.889477848540366
24950,66.9,19.5420060382756
25000,65.0,18.70294094520966
25050,63.7,20.601213556487394
25100,57.9,11.396929411029973
25150,56.5,11.46516463030514
25200,84.5,87.72029411715398
25250,94.5,115.63066202353077
25300,101.0,129.16268811076984
25350,71.5,40.876032097061476
25400,74.3,44.629698632188855
25450,71.7,34.7995689628478
25500,73.4,42.22842644475401
25550,77.6,36.23589380710789
25600,73.7,23.401068351680014
25650,70.3,18.88941502535216
25700,65.0,14.484474446799926
25750,64.0,15.453155017665487
25800,70.2,19.584687896415407
25850,64.1,16.996764397967045
25900,68.1,25.28022942933865
25950,66.0,24.306377763870945
26000,66.1,24.047661008921427
26050,75.3,36.8457595932015
26100,83.7,38.698966394465884
26150,84.0,40.664480815571714
26200,80.6,40.16017928246835
26250,75.7,36.543262032828984
26300,69.3,24.286004199950227
26350,69.1,19.54712255039089
26400,71.3,19.354844354837887
26450,72.7,21.66125573460597
26500,75.2,24.028316628511455
26550,83.7,27.15529414313165
26600,95.7,53.54073215786276
26650,84.3,36.72887147735416
26700,84.7,51.30311881357702
26750,69.3,22.543513479491168
26800,72.4,32.3425416440947
26850,85.6,67.49696289463697
26900,83.9,66.96633482579138
26950,67.1,22.638241981214
27000,67.8,19.74740489279541
27050,78.3,35.47971251292772
27100,78.5,36.54107278118693
27150,71.6,20.986662431172803
27200,80.8,37.32505860678587
27250,74.0,23.54145280138845
27300,83.0,36.70694757127048
27350,80.9,32.54366297760595
27400,78.6,25.923734298900687
27450,99.9,64.23776148030068
27500,89.1,37.068719967109736
27550,87.9,33.88937886713181
27600,92.8,64.41863084543166
27650,72.5,23.5042549339476
27700,71.7,25.888414397177744
27750,72.6,26.33704615176121
27800,74.3,26.419878879359008
27850,81.8,33.3970058538187
27900,74.3,21.004999404903586
27950,76.4,21.611108254784156
28000,78.5,25.578311124857326
28050,101.2,65.91934465693663
28100,97.4,64.27939016512214
28150,84.8,29.616887074775434
28200,80.9,29.412412345810736
28250,91.5,31.26099806468117
28300,104.7,72.70907783764005
28350,107.9,99.71404113764521
28400,109.3,76.04610443671653
28450,96.5,55.408031908740455
28500,82.4,26.07374158037162
28550,85.1,29.16316169416478
28600,108.5,82.62838495335608
28650,112.1,111.00400893661453
28700,119.9,124.19375990765398
28750,135.9,114.7287670987534
28800,123.0,91.93911028501418
28850,117.5,81.58216716905723
28900,107.1,73.68507311525177
28950,100.9,66.39043605821549
29000,106.2,72.45798782743005
29050,112.8,101.84576574408972
29100,116.4,101.52359331702164
29150,116.6,98.6875878720318
29200,120.6,112.46261601083269
29250,125.8,127.00456684702326
29300,127.2,121.10805092973796
29350,124.2,101.76030660331168
29400,123.9,88.68195983400457
